data_year,criminal_act_id,offense_id
2024,1,241117828
2024,8,241117829
2024,3,241117851
2024,3,225531339
2024,1,224239250
2024,1,224239319
2024,3,224239244
2024,6,224239245
2024,6,225531425
2024,8,225531374
2024,1,241117897
2024,3,225531735
2024,3,225531668
2024,3,225531693
2024,6,225531761
2024,3,241117821
2024,6,225531903
2024,3,241117861
2024,3,225531973
2024,3,232617356
2024,3,225531867
2024,1,241117900
2024,3,241117921
2024,6,225532026
2024,3,241117850
2024,3,243812463
2024,3,238300924
2024,3,243812420
2024,8,241118031
2024,3,245376745
2024,6,241118150
2024,6,241118151
2024,3,241118107
2024,3,229149202
2024,6,243812428
2024,8,241118237
2024,1,229148258
2024,3,229148267
2024,3,229148251
2024,6,236220067
2024,6,229148292
2024,3,239628584
2024,6,239628585
2024,6,239628611
2024,12,231150254
2024,6,245376852
2024,3,231150268
2024,6,229148417
